Código;Municipio;Departamento;ABELARDO DE LA ESPRIELLA;IVÁN CEPEDA CASTRO;PALOMA VALENCIA LASERNA;SERGIO FAJARDO VALDERRAMA;CLAUDIA LÓPEZ;RAÚL SANTIAGO BOTERO JARAMILLO;ÓSCAR MAURICIO LIZCANO ARANGO;MIGUEL URIBE LONDOÑO;SONDRA MACOLLINS GARVIN PINTO;ROY LEONARDO BARRERAS MONTEALEGRE;LUIS GILBERTO MURILLO URRUTIA;CARLOS EDUARDO CAICEDO OMAR;GUSTAVO MATAMOROS CAMACHO;Voto en blanco;Nulos;No marcados;Válidos;Votantes
01010;ALEJANDRIA;Antioquia;1.811;389;312;114;2;48;8;3;3;1;1;2;0;30;14;22;2.724;2.760
01013;AMAGA;Antioquia;6.531;3.882;1.067;659;52;325;40;21;18;10;14;14;2;331;211;52;12.966;13.229
01016;AMALFI;Antioquia;4.087;1.140;572;327;41;153;19;27;14;27;11;4;3;232;66;37;6.657;6.760
01019;ANDES;Antioquia;10.148;2.566;3.583;584;52;243;19;45;17;13;9;13;13;246;117;51;17.551;17.719
01022;ANGELOPOLIS;Antioquia;1.619;544;410;131;19;85;4;5;6;7;1;3;0;65;39;17;2.899;2.955
01025;ANGOSTURA;Antioquia;1.816;559;600;178;33;76;21;31;20;11;0;3;2;128;116;73;3.478;3.667
01028;ANORI;Antioquia;1.811;1.275;215;152;10;99;14;14;10;8;0;5;2;143;26;29;3.758;3.813
01031;ANTIOQUIA;Antioquia;5.907;3.261;1.673;574;57;174;19;38;14;5;9;9;2;318;160;70;12.060;12.290
01034;ANZA;Antioquia;1.811;400;463;65;11;60;10;12;9;7;5;1;0;47;23;29;2.901;2.953
01035;APARTADO;Antioquia;16.661;32.102;2.067;1.385;164;340;101;38;43;25;32;26;7;1.389;403;133;54.380;54.916
01037;ARBOLETES;Antioquia;4.837;4.120;414;157;18;59;27;9;13;6;3;6;11;93;42;37;9.773;9.852
01039;ARGELIA;Antioquia;1.946;334;670;56;8;52;8;9;11;15;10;2;2;41;18;20;3.164;3.202
01040;ARMENIA;Antioquia;1.311;400;399;55;9;32;4;6;5;1;1;0;0;33;24;25;2.256;2.305
01043;BARBOSA;Antioquia;11.617;6.929;2.731;1.365;141;332;36;51;36;28;15;10;8;684;467;105;23.983;24.555
01049;BELLO;Antioquia;116.690;63.055;18.571;18.325;1.154;2.176;293;270;145;93;119;77;31;4.627;2.323;345;225.626;228.294
01046;BELMIRA;Antioquia;1.611;351;448;159;25;34;3;16;4;6;1;2;0;69;26;16;2.729;2.771
01052;BETANIA;Antioquia;2.365;494;477;117;10;70;5;10;3;7;3;1;2;53;26;18;3.617;3.661
01055;BETULIA;Antioquia;3.581;605;960;147;12;132;17;16;12;10;4;3;2;90;60;52;5.591;5.703
01058;BOLIVAR;Antioquia;7.523;1.642;1.791;333;31;179;13;18;16;7;8;7;2;179;111;48;11.749;11.908
01062;BRICEÑO;Antioquia;1.022;437;131;62;16;52;10;6;11;4;1;2;4;58;50;22;1.816;1.888
01061;BURITICA;Antioquia;1.749;1.075;360;97;13;53;2;7;2;3;1;1;0;107;35;22;3.470;3.527
01064;CACERES;Antioquia;2.099;3.635;197;68;42;95;21;14;12;15;7;8;0;152;89;37;6.365;6.491
01067;CAICEDO;Antioquia;1.363;493;832;133;4;59;5;21;15;6;4;2;0;71;58;30;3.008;3.096
01070;CALDAS;Antioquia;22.385;13.435;4.339;4.322;228;512;71;55;34;34;29;19;8;1.124;812;121;46.595;47.528
